bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Arcobacter_peruensis_PSE_93	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter sp001956695
_Arcobacter_porcinus_117434	22	13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter porcinus
_Arcobacter_porcinus_213	22	13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter porcinus
_Arcobacter_porcinus_216	22	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter porcinus
_Arcobacter_porcinus_CCUG_56899	22	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter porcinus
_Arcobacter_porcinus_DU19	22	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter porcinus
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_B	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter skirrowii
Arcobacter_sp_AF1028	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter faecis
Arcobacter_sp_BM102	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter sp002869565
Arcobacter_sp_CECT_8983	16	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Arcobacter_sp_CECT_8985	20	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter molluscorum
Arcobacter_sp_CECT_8986	20	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter molluscorum
Arcobacter_sp_CECT_8989	17	17	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Arcobacter_sp_CECT_9188	21	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter lanthieri
Arcobacter_sp_CECT_9230	20	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter lanthieri
Arcobacter_sp_CECT_9299	21	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter skirrowii
Arcobacter_sp_F155	17	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter sp001895145
Arcobacter_sp_F2176	22	17	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter nitrofigilis
