"Row.names","group","indval","pvalue","freq","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV27","normoxic",0.956521739130435,0.02,6,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum"
"ASV270","normoxic",0.983686786296901,0.018,6,"Bacteria","Marinimicrobia_(SAR406_clade)",NA,NA,NA,NA
"ASV275","hypoxic",0.927291886195996,0.023,4,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA
"ASV280","normoxic",1,0.022,5,"Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_III",NA,NA
"ASV29","normoxic",0.904846204912591,0.015,6,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia"
"ASV2959","hypoxic",1,0.012,3,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"ASV296","normoxic",0.947916666666667,0.026,6,"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA
"ASV298","normoxic",0.889267461669506,0.019,7,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III",NA
"ASV307","normoxic",0.798994974874372,0.029,7,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42",NA
"ASV31","normoxic",0.949016751638747,0.022,6,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV323","normoxic",1,0.015,5,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib"
"ASV33","normoxic",0.878744650499287,0.012,8,"Bacteria","Marinimicrobia_(SAR406_clade)",NA,NA,NA,NA
"ASV334","normoxic",1,0.023,5,"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA
"ASV336","normoxic",0.892367906066536,0.019,8,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV34","hypoxic",1,0.027,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter"
"ASV344","normoxic",1,0.019,5,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group"
"ASV346","hypoxic",1,0.015,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"ASV36","hypoxic",1,0.02,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium"
"ASV37","normoxic",0.890394088669951,0.019,7,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV373","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA
"ASV374","normoxic",0.83974358974359,0.011,7,"Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales",NA,NA
"ASV376","hypoxic",1,0.026,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV38","normoxic",0.886110423372122,0.017,7,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II",NA
"ASV4","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus"
"ASV403","hypoxic",1,0.017,3,"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"ASV406","normoxic",1,0.015,5,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade",NA
"ASV407","hypoxic",0.904,0.037,5,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"ASV411","hypoxic",1,0.016,3,"Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV428","normoxic",1,0.022,5,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA
"ASV429","normoxic",1,0.022,5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV438","hypoxic",1,0.023,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA
"ASV44","hypoxic",1,0.02,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter"
"ASV465","hypoxic",1,0.021,3,"Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV47","normoxic",0.86559908492994,0.027,7,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade",NA
"ASV470","hypoxic",1,0.026,3,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV49","hypoxic",0.928725701943845,0.05,6,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV492","hypoxic",1,0.019,3,"Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV5","hypoxic",1,0.024,3,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius"
"ASV51","normoxic",0.694905213270142,0.021,8,"Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina"
"ASV514","hypoxic",1,0.015,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV521","hypoxic",0.934466019417476,0.017,4,"Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV535","hypoxic",1,0.017,3,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Blastopirellula"
"ASV55","hypoxic",1,0.024,3,"Bacteria","Cloacimonetes","Cloacimonadia","Cloacimonadales","MSBL8",NA
"ASV553","normoxic",1,0.013,5,"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA
"ASV574","normoxic",1,0.026,5,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade",NA
"ASV58","hypoxic",1,0.021,3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Sunxiuqinia"
"ASV587","normoxic",1,0.017,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"ASV59","hypoxic",1,0.013,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter"
"ASV592","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"ASV593","hypoxic",0.950704225352113,0.018,4,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus"
"ASV6","hypoxic",0.9977897063467,0.04,5,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV60","hypoxic",1,0.024,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum"
"ASV61","hypoxic",1,0.023,3,"Bacteria","Bacteroidetes","Rhodothermia","Balneolales","Balneolaceae","Balneola"
"ASV612","normoxic",1,0.02,5,"Bacteria","Marinimicrobia_(SAR406_clade)",NA,NA,NA,NA
"ASV615","hypoxic",1,0.02,3,"Bacteria","Bacteroidetes","Rhodothermia","Balneolales","Balneolaceae","Balneola"
"ASV618","normoxic",1,0.018,5,"Bacteria","Marinimicrobia_(SAR406_clade)",NA,NA,NA,NA
"ASV619","hypoxic",1,0.019,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group"
"ASV62","hypoxic",0.931952662721893,0.023,7,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"ASV625","hypoxic",1,0.017,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"ASV626","hypoxic",1,0.019,3,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ASV627","hypoxic",0.967741935483871,0.027,4,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV629","normoxic",1,0.02,5,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA
"ASV63","normoxic",1,0.024,5,"Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina"
"ASV64","normoxic",0.792217604835663,0.023,8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV647","hypoxic",0.94488188976378,0.016,4,"Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","R76-B128"
"ASV648","hypoxic",1,0.015,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA
"ASV66","hypoxic",0.741140215716487,0.05,8,"Bacteria","Bacteroidetes","Rhodothermia","Balneolales","Balneolaceae","Balneola"
"ASV686","hypoxic",1,0.021,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA
"ASV69","normoxic",0.732543895467538,0.018,8,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade"
"ASV690","hypoxic",1,0.018,3,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA
"ASV7","normoxic",0.788063337393423,0.027,8,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia"
"ASV70","normoxic",1,0.016,5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV708","hypoxic",1,0.023,3,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae",NA
"ASV71","hypoxic",1,0.027,3,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"ASV753","hypoxic",1,0.022,3,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula"
"ASV760","hypoxic",0.882352941176471,0.044,5,"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA
