Sample_ID	Type	Site	input	filtered	denoisedF	denoisedR	merged	nonchim
WCC0	normoxic	Crawl_Caye	47262	38961	37153	38268	32684	28130
WCC1	normoxic	Crawl_Caye	38295	32223	30875	31646	28066	25576
WCC2	normoxic	Crawl_Caye	35161	29579	28717	29166	26668	24929
WCC3	normoxic	Crawl_Caye	30556	24677	23796	24262	22056	20850
WCR0	normoxic	Cayo_Roldan	47991	40399	38847	39739	34301	29157
WCR1	hypoxic	Cayo_Roldan	21958	18230	17303	17821	14682	12909
WCR2	hypoxic	Cayo_Roldan	25189	21209	19797	20683	16030	13874
WCR3	hypoxic	Cayo_Roldan	60146	51481	49228	50695	42012	33802
