	input	filtered	denoisedF	denoisedR	merged	nonchim
CCC3	14927	13561	13286	13430	419	418
CCC4	1228	839	774	771	269	265
CCC5	18560	17391	17174	17130	7000	6974
CCC6	1125	568	532	532	234	230
CCR2	13934	12668	12478	12586	356	347
CCR3	13617	12467	12272	12228	267	253
CCR4	1750	308	276	273	231	226
CCR5	1444	773	721	702	241	182
